d	recip	icode	indus	pac	indiv	totals	sourcedate	cycle	Origin	Source															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	B09	Telecom Services	190600	168175	358775	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	M04	Railroads	167500	189837	357337	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N05	Business Services	62000	285223	347223	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	F06	Finance/Credit Companies	125500	206550	332050	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	C01	General Contractors	88000	216050	304050	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	F11	Accountants	144900	159100	304000	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N02	Beer, Wine & Liquor	173413	106850	280263	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	A07	Agricultural Services/Products	175750	98100	273850	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	A02	Tobacco	92500	168758	261258	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	B02	TV/Movies/Music	112600	136850	249450	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	A09	Food Processing & Sales	143437	99500	242937	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	W04	Education	37208	204300	241508	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	A01	Crop Production & Basic Processing	25000	213145	238145	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N13	Chemical & Related Manufacturing	150625	79700	230325	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	Q01	Republican/Conservative	28600	200756	229356	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N12	Misc Business	28000	184800	212800	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	B08	Telephone Utilities	121000	68750	189750	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	C05	Building Materials & Equipment	66000	105601	171601	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	D01	Defense Aerospace	132000	37000	169000	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N07	Casinos/Gambling	66000	97600	163600	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N06	Recreation/Live Entertainment	49750	111000	160750	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	B13	Internet	96500	63625	160125	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	E07	Misc Energy	45100	114900	160000	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	M03	Trucking	75500	66600	142100	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	N08	Lodging/Tourism	71000	62650	133650	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	A06	Livestock	30000	101375	131375	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
N00003389	Mitch McConnell (R) & Leadership PAC(s)	B01	Printing & Publishing	7000	120900	127900	May 16 2017 12:00 AM	2016	Center for Responsive Politics	https://www.opensecrets.org/politicians/industries.php?cycle=2016&amp;cid=N00003389&amp;type=C&amp;newmem=N															
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
